challenge_id,contest_id,domain,subdomain,difficulty,solved_submission_count,total_submissions_count
92cce56cc5c0089a,c8ff662c97d345d2,Algorithms,Bit Manipulation,0.9,890,1224
ab1bdad8537b85cd,c8ff662c97d345d2,Algorithms,Bit Manipulation,0.9,1183,1445
8d8f0c01bf0cac1f,c8ff662c97d345d2,Algorithms,Bit Manipulation,0.7,124,529
27efe455649ee698,c8ff662c97d345d2,Algorithms,Dynamic Programming,0.7299546142,523,1135
907887e993cd158c,c8ff662c97d345d2,Algorithms,Dynamic Programming,0.5328947368,10,47
638370113f88e004,c8ff662c97d345d2,Algorithms,Dynamic Programming,0.343402932,13,180
0d64b71426420f57,c8ff662c97d345d2,Algorithms,Dynamic Programming,0.325,4,34
2c85a2ea2f9e611e,c8ff662c97d345d2,Algorithms,Game Theory,0.5776805252,18,41
7f379545e1a00569,c8ff662c97d345d2,Algorithms,Graph Theory,0.7,291,1149
731c2b105e8c5d1d,c8ff662c97d345d2,Algorithms,Graph Theory,0.7,5,17
659f2ceb67eca1ef,c8ff662c97d345d2,Algorithms,Greedy,0.8173509561,1021,3118
3927a92a10f65b91,c8ff662c97d345d2,Algorithms,Greedy,0.5048025614,63,299
5f6525508e7e07b7,c8ff662c97d345d2,Algorithms,Greedy,0.7751615308,473,1313
6d7b38bc199f84b8,c8ff662c97d345d2,Algorithms,Greedy,0.7,280,413
0b33fa0e17628ec9,c8ff662c97d345d2,Algorithms,Greedy,0.8715039578,249,456
08a5f5f58fe5f586,c8ff662c97d345d2,Algorithms,Greedy,0.8835942818,311,494
feb666a0b4f1d685,c8ff662c97d345d2,Algorithms,Implementation,0.9501810813,2367,3055
26c95b75d8237f39,c8ff662c97d345d2,Algorithms,Implementation,0.9,1781,3333
76fba8ff25f765b6,c8ff662c97d345d2,Algorithms,Implementation,0.8589480335,1525,2429
9580a525da7618e9,c8ff662c97d345d2,Algorithms,Implementation,0.9415204678,1064,1617
4e07173c3bba48d2,c8ff662c97d345d2,Algorithms,Implementation,0.8317811409,916,2911
